                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9998,                 4.8958,                 1.3669,                0.00284,                0.00303,                0.00175,                0.00018,                 1.9654,                 4.9939,                 1.4904,                7.7e-06,                7.7e-06,                7.7e-06
                      1,                 1.8379,                 4.8346,                 1.2414,                0.02609,                0.11515,                0.02337,                0.00959,                 1.6633,                 4.5066,                 1.2194,             1.8869e-05,             1.8869e-05,             1.8869e-05
                      2,                 1.6585,                 4.1274,                 1.1947,                0.03869,                0.24318,                0.08765,                0.04993,                 1.5834,                 4.0867,                 1.1696,              2.958e-05,              2.958e-05,              2.958e-05
                      3,                 1.6437,                 3.5164,                  1.211,                0.36973,                0.19952,                0.18338,                0.11645,                 1.3882,                 3.0658,                  1.078,             3.9834e-05,             3.9834e-05,             3.9834e-05
                      4,                 1.4598,                 2.7315,                 1.1105,                0.30984,                 0.3585,                0.23007,                0.15003,                 1.3158,                  2.699,                 1.0478,             4.9631e-05,             4.9631e-05,             4.9631e-05
                      5,                 1.3664,                 2.0164,                 1.0367,                0.38988,                 0.6782,                0.49545,                0.31538,                 1.2367,                 2.8176,                 1.0008,              5.897e-05,              5.897e-05,              5.897e-05
                      6,                 1.3753,                 1.7949,                 1.0499,                0.54378,                0.64292,                 0.6334,                0.41194,                 1.2047,                 2.9712,                0.98671,             6.7852e-05,             6.7852e-05,             6.7852e-05
                      7,                 1.2795,                 1.5693,                 1.0079,                0.50678,                 0.7917,                0.70724,                0.46724,                 1.1861,                 2.5522,                 0.9897,             7.6277e-05,             7.6277e-05,             7.6277e-05
                      8,                 1.2578,                 1.4932,                 1.0056,                0.73613,                0.68448,                0.80046,                0.52928,                 1.1964,                 1.8305,                0.98768,             8.4244e-05,             8.4244e-05,             8.4244e-05
                      9,                 1.2391,                 1.4276,                0.98694,                0.71854,                0.79591,                0.85627,                0.55548,                 1.2462,                 2.0431,                0.99584,             9.1754e-05,             9.1754e-05,             9.1754e-05
